,Instituição financeira,Código,TCB,TD,TC,Cidade,UF,Data,Instituição Sujeita à Apuração da Exposição Total,Instituição Sujeita à Apuração do Patrimônio de Referência,Instituição Utiliza Metodologia Simplificada,Exposição Total ou Ativo Total (R$ mil),Total de Ativos Consolidados no Exterior (US$ mil),Data da Última Alteração de Segmento,SR,Unnamed: 15
11791,JBCRED S.A. SCFI - PRUDENCIAL,1000083137.0,n1,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,103.851,NI,,S4,
11792,MUTUAL APETRIM CI S/A - PRUDENCIAL,1000083412.0,n1,I,2.0,BELO HORIZONTE,MG,03/2019,Não,Sim,Não,NI,NI,01/2017,S4,
11793,FINAMAX S.A. CFI - PRUDENCIAL,1000083436.0,n1,I,2.0,JUNDIAI,SP,03/2019,Não,Sim,Não,290.059,NI,01/2017,S4,
11794,GRAZZIOTIN FINANCIADORA SA CFI - PRUDENCIAL,1000083481.0,n1,I,2.0,PASSO FUNDO,RS,03/2019,Não,Sim,Não,25.194,NI,01/2017,S4,
11795,ATRIA S.A. - CFI - PRUDENCIAL,1000083508.0,n1,I,2.0,ARAUCARIA,PR,03/2019,Não,Sim,Não,57.648,NI,01/2017,S4,
11796,SAX S.A. CFI - PRUDENCIAL,1000083515.0,n1,C,2.0,BARUERI,SP,03/2019,Não,Sim,Não,996.523,NI,01/2017,S4,
11797,HS FINANCEIRA - PRUDENCIAL,1000083522.0,n1,C,2.0,DOIS IRMAOS,RS,03/2019,Não,Sim,Não,260.475,0,01/2017,S4,
11798,SOROCRED CFI S.A. - PRUDENCIAL,1000083539.0,n1,C,2.0,SOROCABA,SP,03/2019,Não,Sim,Não,580.755,NI,01/2017,S4,
11799,TODESCREDI S/A - CFI - PRUDENCIAL,1000083546.0,n1,I,2.0,BENTO GONCALVES,RS,03/2019,Não,Sim,Não,186.853,NI,01/2017,S4,
11800,MIDWAY S.A. - SCFI - PRUDENCIAL,1000083553.0,n1,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,4.396.649,NI,01/2017,S4,
11801,PORTOCRED S.A. - CFI - PRUDENCIAL,1000083560.0,n1,I,2.0,PORTO ALEGRE,RS,03/2019,Não,Sim,Não,401.012,NI,01/2017,S4,
11802,SOCINAL S.A. CFI - PRUDENCIAL,1000083577.0,n1,I,2.0,ARARUAMA,RJ,03/2019,Não,Sim,Não,153.325,NI,01/2017,S4,
11803,ESTRELA MINEIRA - PRUDENCIAL,1000083584.0,n1,C,2.0,ARAXA,MG,03/2019,Não,Sim,Não,392.843,NI,01/2017,S4,
11804,CARUANA SCFI - PRUDENCIAL,1000083591.0,n1,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,784.239,NI,01/2017,S4,
11805,BRICKELL S.A. CFI - PRUDENCIAL,1000083601.0,n1,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,224.364,NI,01/2017,S4,
11806,DIRECAO S.A. CFI - PRUDENCIAL,1000083625.0,n1,I,2.0,SANTOS,SP,03/2019,Não,Sim,Não,54.265,NI,01/2017,S4,
11807,CREFISA S.A. CFI - PRUDENCIAL,1000083632.0,b1,C,2.0,SAO PAULO,SP,03/2019,Sim,Sim,Não,5.607.027,0,01/2017,S4,
11808,DREBES FINANCEIRA S.A. - CFI - PRUDENCIAL,1000083656.0,n1,I,2.0,ELDORADO,RS,03/2019,Não,Sim,Não,178.487,NI,01/2017,S4,
11809,AGIBANK - PRUDENCIAL,1000083694.0,b1,C,2.0,PORTO ALEGRE,RS,03/2019,Sim,Sim,Não,2.309.202,NI,01/2017,S4,
11810,FACTA S.A. CFI - PRUDENCIAL,1000083704.0,n1,I,2.0,PORTO ALEGRE,RS,03/2019,Não,Sim,Não,480.865,NI,01/2017,S4,
11811,STARA FINANCEIRA S.A. - CFI - PRUDENCIAL,1000083711.0,n1,I,2.0,NAO-ME-TOQUE,RS,03/2019,Não,Sim,Não,235.483,NI,01/2017,S4,
11812,COLUNA S.A. DTVM - PRUDENCIAL,1000083728.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,2.728,NI,01/2017,S4,
11813,ICATU DTVM LTDA - PRUDENCIAL,1000083735.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,1.447,NI,01/2017,S4,
11814,RELIANCE DTVM LTDA. - PRUDENCIAL,1000083742.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,5.179,NI,01/2017,S4,
11815,NOVA FUTURA DTVM LTDA - PRUDENCIAL,1000083759.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,133.254,NI,01/2017,S4,
11816,SIMPLIFIC PAVARINI - PRUDENCIAL,1000083766.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,1.238,NI,01/2017,S4,
11817,PENTAGONO S/A DTVM - PRUDENCIAL,1000083773.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,4.560,NI,01/2017,S4,
11818,ADVALOR DTVM LTDA - PRUDENCIAL,1000083797.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,2.103,NI,01/2017,S4,
11819,DILLON S/A DTVM - PRUDENCIAL,1000083807.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,12.551,NI,01/2017,S4,
11820,BR-CAPITAL DTVM S.A. - PRUDENCIAL,1000083814.0,n2,C,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,2.276,NI,01/2017,S4,
11821,PATAÇÃO DTVM LTDA. - PRUDENCIAL,1000083821.0,n2,I,2.0,SOROCABA,SP,03/2019,Não,Sim,Não,2.228,NI,01/2017,S4,
11822,CP & FRIZZO - DTVM LTDA - PRUDENCIAL,1000083838.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,789,NI,01/2017,S4,
11823,DIBRAN DTVM LTDA - PRUDENCIAL,1000083845.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,21.265,NI,01/2017,S4,
11824,EBADIVAL - E BAGGIO DTVM LTDA - PRUDENCIAL,1000083876.0,n2,I,2.0,CURITIBA,PR,03/2019,Não,Sim,Não,1.148,NI,01/2017,S4,
11825,ORLA DTVM S.A. - PRUDENCIAL,1000083883.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,11.544,NI,01/2017,S4,
11826,WESTERN ASSET DTVM LTDA. - PRUDENCIAL,1000083900.0,n2,I,3.0,SAO PAULO,SP,03/2019,Não,Sim,Não,122.569,NI,01/2017,S4,
11827,FOCO DTVM LTDA - PRUDENCIAL,1000083924.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,5.551,NI,01/2017,S4,
11828,GAVEA DTVM LTDA - PRUDENCIAL,1000083986.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,5.085,NI,01/2017,S4,
11829,F D GOLD DTVM LTDA - PRUDENCIAL,1000083993.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,24.813,NI,01/2017,S4,
11830,VIC DTVM S/A - PRUDENCIAL,1000084002.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,190.435,NI,01/2017,S4,
11831,PARMETAL DTVM LTDA - PRUDENCIAL,1000084019.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,20.124,NI,01/2017,S4,
11832,SUL AMERICA INVEST DTVM S.A. - PRUDENCIAL,1000084026.0,n2,I,3.0,SAO PAULO,SP,03/2019,Não,Sim,Não,65.961,NI,01/2017,S4,
11833,BGC LIQUIDEZ DTVM LTDA - PRUDENCIAL,1000084033.0,n2,I,3.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,481.117,NI,01/2017,S4,
11834,OLIVEIRA TRUST DTVM S.A. - PRUDENCIAL,1000084040.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,30.948,NI,01/2017,S4,
11835,INTESA SANPAOLO BRASIL S.A. - PRUDENCIAL,1000084057.0,b1,I,3.0,SAO PAULO,SP,03/2019,Sim,Sim,Não,960.688,NI,01/2017,S4,
11836,INTL FCSTONE - PRUDENCIAL,1000084088.0,b2,C,3.0,SAO PAULO,SP,03/2019,Sim,Sim,Não,77.448,NI,01/2017,S4,
11837,RENASCENCA DTVM LTDA - PRUDENCIAL,1000084105.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,454.682,NI,01/2017,S4,
11838,LASTRO RDV DTVM LTDA - PRUDENCIAL,1000084129.0,n2,C,2.0,ARARAS,SP,03/2019,Não,Sim,Não,3.701,NI,01/2017,S4,
11839,PACIFIC INVEST DTVM LTDA - PRUDENCIAL,1000084143.0,n2,I,2.0,JOACABA,SC,03/2019,Não,Sim,Não,3.850,NI,01/2017,S4,
11840,DEBONI DTVM LTDA - PRUDENCIAL,1000084150.0,n2,I,2.0,CURITIBA,PR,03/2019,Não,Sim,Não,6.453,NI,01/2017,S4,
11841,RB CAPITAL DTVM LTDA. - PRUDENCIAL,1000084174.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,5.429,NI,01/2017,S4,
11842,MOMENTO DTVM LTDA. - PRUDENCIAL,1000084181.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,2.778,NI,01/2017,S4,
11843,H.COMMCOR DTVM LTDA. - PRUDENCIAL,1000084222.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,58.200,NI,01/2017,S4,
11844,OM DTVM LTDA - PRUDENCIAL,1000084239.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,27.760,NI,01/2017,S4,
11845,FRAM CAPITAL DTVM S.A. - PRUDENCIAL,1000084253.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,2.827,NI,01/2017,S4,
11846,ÓRAMA DTVM S.A. - PRUDENCIAL,1000084260.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,54.582,NI,01/2017,S4,
11847,BRL TRUST DTVM SA - PRUDENCIAL,1000084277.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,17.599,NI,01/2017,S4,
11848,ÁTICO DTVM LTDA. - PRUDENCIAL,1000084291.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,NI,NI,01/2017,S4,
11849,INTRADER DTVM LTDA - PRUDENCIAL,1000084301.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,3.721,NI,01/2017,S4,
11850,FUTURAINVEST DTVM - PRUDENCIAL,1000084325.0,n2,I,2.0,SALVADOR,BA,03/2019,Não,Sim,Não,11.451,NI,01/2017,S4,
11851,BANCO RIBEIRÃO PRETO - PRUDENCIAL,1000084349.0,b1,I,2.0,RIBEIRAO PRETO,SP,03/2019,Sim,Sim,Não,702.910,NI,01/2017,S4,
11852,MONOPÓLIO CC - PRUDENCIAL,1000084356.0,n2,I,2.0,BELEM,PA,03/2019,Não,Sim,Não,5.009,NI,01/2017,S4,
11853,JN-MAXI CC LTDA. - PRUDENCIAL,1000084370.0,n2,I,2.0,SALVADOR,BA,03/2019,Não,Sim,Não,1.021,NI,01/2017,S4,
11854,FRENTE CC LTDA. - PRUDENCIAL,1000084387.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,5.000,NI,01/2017,S4,
11855,EURODIVISAS CC LTDA. - PRUDENCIAL,1000084435.0,n2,I,3.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,26.032,NI,01/2017,S4,
11856,APOGEO DTVM - PRUDENCIAL,1000084459.0,n2,I,2.0,RIO DE JANEIRO,RJ,03/2019,Não,Sim,Não,2.056,NI,01/2017,S4,
11857,SEALANDAIR CC - PRUDENCIAL,1000084466.0,n2,I,2.0,PORTO ALEGRE,RS,03/2019,Não,Sim,Não,339,NI,01/2017,S4,
11858,JSL ARRENDAMENTO MERCANTIL - PRUDENCIAL,1000084480.0,n1,I,3.0,SAO PAULO,SP,03/2019,Não,Sim,Não,261.855,NI,01/2017,S4,
11859,TERRA INVESTIMENTOS DTVM,1000084514.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,113.715,NI,01/2017,S4,
11860,GOOD CC - PRUDENCIAL,1000084521.0,n2,I,2.0,PORTO ALEGRE,RS,03/2019,Não,Sim,Não,2.251,NI,01/2017,S4,
11861,VORTX DTVM - PRUDENCIAL,1000084538.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,9.287,NI,01/2017,S4,
11862,DEUTSCHE SPARKASSEN LEASING DO BRASIL - PRUDENCIAL,1000084545.0,n1,I,3.0,SAO PAULO,SP,03/2019,Não,Sim,Não,381.614,NI,01/2017,S4,
11863,SINOSSERRA FINANCEIRA S/A - PRUDENCIAL,1000084552.0,n1,C,2.0,NOVO HAMBURGO,RS,03/2019,Não,Sim,Não,103.205,NI,01/2017,S4,
11864,BANCO KOMATSU DO BRASIL - PRUDENCIAL,1000084576.0,b2,I,3.0,SAO PAULO,SP,03/2019,Sim,Sim,Não,237.994,NI,01/2017,S4,
11865,COMMERZBANK BRASIL - PRUDENCIAL,1000084583.0,b1,I,3.0,SAO PAULO,SP,03/2019,Sim,Sim,Não,881.883,NI,01/2017,S4,
11866,AVS CORRETORA DE CÂMBIO - PRUDENICAL,1000084590.0,n2,I,2.0,CURITIBA,PR,03/2019,Não,Sim,Não,1.761,NI,01/2017,S4,
11867,AVISTA S.A. CFI - PRUDENCIAL,1000084600.0,n1,C,2.0,VITORIA,ES,03/2019,Não,Sim,Não,1.061.048,NI,01/2017,S4,
11868,LIMINE TRUST DTVM  - PRUDENCIAL,1000084617.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,793,NI,01/2017,S4,
11869,BOCOM - PRUDENCIAL,1000084624.0,b1,C,3.0,SALVADOR,BA,03/2019,Sim,Sim,Não,6.407.011,533.095,01/2017,S4,
11870,BBM ADM REC DTVM - PRUDENCIAL,1000084631.0,n2,I,2.0,GOIANIA,GO,03/2019,Não,Sim,Não,3.694,NI,02/2017,S4,
11871,SAGITUR CORRETORA DE CÂMBIO LTDA. - PRUDENCIAL,1000084648.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,1.985,NI,02/2017,S4,
11872,BANCO CBSS - PRUDENCIAL,1000084655.0,b2,I,3.0,BARUERI,SP,03/2019,Sim,Sim,Não,2.008.013,NI,01/2017,S4,
11873,REALIZE CFI - PRUDENCIAL,1000084703.0,n1,I,3.0,PORTO ALEGRE,RS,03/2019,Não,Sim,Não,1.574.401,NI,06/2017,S4,
11874,CENTROCRED CFI - PRUDENCIAL,1000084727.0,n1,I,2.0,SANTA CRUZ DO SUL,RS,03/2019,Não,Sim,Não,170.880,NI,08/2017,S4,
11875,AMAGGI CFI - PRUDENCIAL,1000084734.0,n1,I,2.0,CUIABA,MT,03/2019,Não,Sim,Não,78.748,NI,08/2017,S4,
11876,HSBC BI - PRUDENCIAL,1000084741.0,b2,I,3.0,SAO PAULO,SP,03/2019,Sim,Sim,Não,2.305.198,NI,01/2017,S4,
11877,SADOC CC - PRUDENCIAL,1000084758.0,n2,I,2.0,FORTALEZA,CE,03/2019,Não,Sim,Não,2.548,NI,10/2017,S4,
11878,IB CCTVM - PRUDENCIAL,1000084765.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,2.820,NI,01/2018,S4,
11879,TORO CTVM LTDA - PRUDENCIAL,1000084772.0,n2,I,2.0,BELO HORIZONTE,MG,03/2019,Não,Sim,Não,27.945,NI,01/2018,S4,
11880,TURMA CORRETORA DE CÂMBIO - PRUDENCIAL,1000084796.0,n2,I,2.0,URUGUAIANA,RS,03/2019,Não,Sim,Não,637,NI,04/2018,S4,
11881,GUIDE,1000084837.0,n2,C,3.0,SAO PAULO,SP,03/2019,Não,Sim,Não,330.836,NI,11/2018,S4,
11882,BANCO C6,1000084844.0,b1,C,2.0,SAO PAULO,SP,03/2019,Sim,Sim,Não,222.518,NI,01/2019,S4,
11883,IDEAL CTVM,1000084851.0,n2,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Não,14.268,NI,01/2019,S4,
11884,BANCOSEGURO - PRUDENCIAL,1000084868.0,b1,I,2.0,SAO PAULO,SP,03/2019,Sim,Sim,Não,44.506,NI,03/2019,S4,
11885,COOPERATIVA DE CRÉDITO DA REGIÃO DE CRATEÚS - SICREDI CRATEÚS,68389.0,b3S,I,2.0,CRATEUS,CE,03/2019,Não,Sim,Sim,33.132,NI,01/2017,S5,
11886,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO TRIÂNGULO MINEIRO E SUDESTE DE GOIÁS LTDA. - SICOOB ARACREDI,68987.0,b3S,I,2.0,ARAGUARI,MG,03/2019,Não,Sim,Sim,213.954,NI,01/2017,S5,
11887,COOPERATIVA DE CRÉDITO UNICRED SUL CATARINENSE LTDA - UNICRED SUL CATARINENSE,75847.0,b3S,I,2.0,CRICIUMA,SC,03/2019,Não,Sim,Sim,821.732,NI,01/2017,S5,
11888,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS SOMART LTDA.,129753.0,b3S,I,2.0,URUCANIA,MG,03/2019,Não,Sim,Sim,1.404,NI,01/2017,S5,
11889,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DAS EMPRESAS DE TRANSPORTES COLETIVOS RODOVIÁRIOS DE PASSAGEIROS DO GRANDE RIO LTDA,141155.0,b3S,I,2.0,SAO GONCALO,RJ,03/2019,Não,Sim,Sim,6.585,NI,01/2017,S5,
11890,COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA,204963.0,b3S,I,2.0,SEARA,SC,03/2019,Não,Sim,Sim,77.048,NI,01/2017,S5,
11891,COOPERATIVA SICOOB UNIMAIS METROPOLITANA – COOPERATIVA DE CRÉDITO.,259231.0,b3S,I,2.0,SANTOS,SP,03/2019,Não,Sim,Sim,573.435,NI,01/2017,S5,
11892,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CAMPOS ALTOS LTDA - SICOOB CREDIAGRO,429890.0,b3S,I,2.0,CAMPOS ALTOS,MG,03/2019,Não,Sim,Sim,104.261,NI,01/2017,S5,
11893,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO SEMASA - SICOOB CECRESA,512839.0,b3S,I,2.0,SANTO ANDRE,SP,03/2019,Não,Sim,Sim,11.374,NI,01/2017,S5,
11894,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO SUGGAR LTDA.,548980.0,b3S,I,2.0,BELO HORIZONTE,MG,03/2019,Não,Sim,Sim,1.804,NI,01/2017,S5,
11895,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB CREDICARU SC/RS,694389.0,b3S,I,2.0,SAO JOSE DO CERRITO,SC,03/2019,Não,Sim,Sim,321.972,NI,01/2017,S5,
11896,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO PODER EXECUTIVO FEDERAL, DOS SERVIDORES DA SECRETARIA DE SAÚDE E DOS TRABALHADORES EM ENSINO DO DISTRITO FEDERAL LTDA.   SICOOB EXECUTIVO",694877.0,b3S,I,2.0,BRASILIA,DF,03/2019,Não,Sim,Sim,104.358,NI,01/2017,S5,
11897,COOPERATIVA DE CRÉDITO DO NORTE E NOROESTE DE MINAS GERAIS LTDA. - SICOOB CREDIGERAIS,698609.0,b3S,I,2.0,PARACATU,MG,03/2019,Não,Sim,Sim,292.572,NI,01/2017,S5,
11898,COOPERATIVA DE CRÉDITO VALE DO CANOAS - SICOOB/SC CREDICANOAS,707903.0,b3S,I,2.0,ABDON BATISTA,SC,03/2019,Não,Sim,Sim,95.460,NI,01/2017,S5,
11899,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA MORLAN - CRED MORLAN,731320.0,b3S,I,2.0,ORLANDIA,SP,03/2019,Não,Sim,Sim,6.586,NI,01/2017,S5,
11900,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO DISTRITO FEDERAL LTDA. - COOSERVCRED,778858.0,b3S,I,2.0,BRASILIA,DF,03/2019,Não,Sim,Sim,7.583,NI,01/2017,S5,
11901,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE VAZANTE LTDA. - SICOOB CREDIVAZ,803287.0,b3S,I,2.0,VAZANTE,MG,03/2019,Não,Sim,Sim,102.320,NI,01/2017,S5,
11902,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CAPITÓLIO LTDA   SICOOB CREDICAPI,804046.0,b3S,I,2.0,CAPITOLIO,MG,03/2019,Não,Sim,Sim,60.868,NI,01/2017,S5,
11903,COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO,815319.0,b3S,I,2.0,VENDA NOVA DO IMIGRANTE,ES,03/2019,Não,Sim,Sim,1.365.819,NI,01/2017,S5,
11904,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE BOA ESPERANÇA LTDA. - SICOOB BELCREDI,869687.0,b3S,I,2.0,BOA ESPERANCA,MG,03/2019,Não,Sim,Sim,119.194,NI,01/2017,S5,
11905,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE JABOTICABAL - COOPERSERV,881829.0,b3S,I,2.0,JABOTICABAL,SP,03/2019,Não,Sim,Sim,1.233,NI,01/2017,S5,
11906,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA MAGNESITA REFRATÁRIOS S.A. LTDA. - CECREM,913314.0,b3S,I,2.0,CONTAGEM,MG,03/2019,Não,Sim,Sim,6.954,NI,01/2017,S5,
11907,"COOPERATIVA DE ECON E CRÉDITO MÚTUO SERV MUN SP, MAUÁ E RIBEIRÃO PIRES, SERV PÚBL, EMP E PROF LIBERAIS DA RM OESTE SP E FUNC DAS SEC AGRIC ABASTEC, MEIO AMB E DESENV AGRÍC SP-SICOOB COOPERCREDI-SP",915950.0,b3S,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Sim,100.985,NI,01/2017,S5,
11908,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA PREFEITURA MUNICIPAL DE ORLÂNDIA - CRED SERV,946465.0,b3S,I,2.0,ORLANDIA,SP,03/2019,Não,Sim,Sim,13.524,NI,01/2017,S5,
11909,COOPERATIVA DE CRÉDITO DO SERVIDOR FEDERAL E DE EMPRESAS LTDA. - SICOOB CREDFAZ,952415.0,b3S,I,2.0,BRASILIA,DF,03/2019,Não,Sim,Sim,196.362,NI,01/2017,S5,
11910,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO SÃO PATRICIO LTDA.,968602.0,b3S,I,2.0,GOIANESIA,GO,03/2019,Não,Sim,Sim,260.501,NI,01/2017,S5,
11911,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA MOSAIC FERTILIZANTES DO BRASIL - COCRESGO LTDA.,968834.0,b3S,I,2.0,CATALAO,GO,03/2019,Não,Sim,Sim,550,NI,01/2017,S5,
11912,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA,971300.0,b3S,I,2.0,DOIS VIZINHOS,PR,03/2019,Não,Sim,Sim,289.337,NI,01/2017,S5,
11913,COOPERATIVA DE CRÉDITO UNICOPER,977212.0,b3S,I,2.0,SAO PAULO,SP,03/2019,Não,Sim,Sim,1.590,NI,01/2017,S5,
11914,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DA REGIÃO METROPOLITANA DE BELÉM LTDA.,991739.0,b3S,I,2.0,BELEM,PA,03/2019,Não,Sim,Sim,8.937,NI,01/2017,S5,
11915,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PARA DE MINAS LTDA - SICOOB ASCICRED,1009908.0,b3S,I,2.0,PARA DE MINAS,MG,03/2019,Não,Sim,Sim,223.649,NI,01/2017,S5,
11916,COOPERATIVA DE CREDITO UNICRED DESBRAVADORA LTDA   UNICRED DESBRAVADORA SUL,1039011.0,b3S,I,2.0,CHAPECO,SC,03/2019,Não,Sim,Sim,766.382,NI,01/2017,S5,
11917,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DAS REGIÕES NORTE E NORDESTE DO PARÁ - SICOOB UNIDAS,1042487.0,b3S,I,2.0,BELEM,PA,03/2019,Não,Sim,Sim,39.959,NI,01/2017,S5,
11918,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA.   SICOOB UNIÃO,1060307.0,b3S,I,2.0,RAUL SOARES,MG,03/2019,Não,Sim,Sim,285.739,NI,01/2017,S5,
11919,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA COMIGO,1062439.0,b3S,I,2.0,RIO VERDE,GO,03/2019,Não,Sim,Sim,21.720,NI,01/2017,S5,
11920,COOPERATIVA DE CRÉDITO RURAL DE ABELARDO LUZ - SULCREDI/CREDILUZ,1073966.0,b3S,I,2.0,ABELARDO LUZ,SC,03/2019,Não,Sim,Sim,115.844,NI,01/2017,S5,
11921,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E CATEGORIAS AFINS-UNICRED NITEROI LTDA,1090027.0,b3S,I,2.0,NITEROI,RJ,03/2019,Não,Sim,Sim,107.786,NI,01/2017,S5,
11922,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA USINA SANTA MARIA - PILONCRED,1107759.0,b3S,I,2.0,CERQUILHO,SP,03/2019,Não,Sim,Sim,2.452,NI,01/2017,S5,
11923,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO LESTE MINEIRO LTDA.- UNICRED LESTE MINEIRO,1110032.0,b3S,I,2.0,GOVERNADOR VALADARES,MG,03/2019,Não,Sim,Sim,57.000,NI,01/2017,S5,
11924,COOPERATIVA DE CRÉDITO DE CAMPINA GRANDE - SICREDI CENTRO PARAIBANA,1151186.0,b3S,I,2.0,CAMPINA GRANDE,PB,03/2019,Não,Sim,Sim,242.160,NI,01/2017,S5,
11925,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DA MATA MINEIRA LTDA - SICOOB CREDIMATA,1152097.0,b3S,I,2.0,VOLTA GRANDE,MG,03/2019,Não,Sim,Sim,198.661,NI,01/2017,S5,
11926,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE CURITIBANOS - CRESOL CURITIBANOS,1155801.0,b3S,I,2.0,CURITIBANOS,SC,03/2019,Não,Sim,Sim,58.233,NI,01/2017,S5,
11927,COOPERATIVA DE CRÉDITO DO DISTRITO FEDERAL E ENTORNO LTDA. - SICOOB,1187961.0,b3S,I,2.0,BRASILIA,DF,03/2019,Não,Sim,Sim,181.264,NI,01/2017,S5,
11928,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE CAPANEMA - CRESOL CAPANEMA,1201006.0,b3S,I,2.0,CAPANEMA,PR,03/2019,Não,Sim,Sim,34.912,NI,01/2017,S5,
